sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,syncmvd,goatex,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,12
58_1d7b005b0cf241d9890739a549769c86,main,spotex,mvadapter,goatex,TEXGen,syncmvd,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,spotex,TEXGen,syncmvd,mvadapter,goatex,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,14
48_d53b232eab0048b48835c2caef28f44e,main,goatex,mvadapter,spotex,TEXGen,syncmvd,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,15
01_d85c3093011d4e03a0df7a4049b13816,main,mvadapter,TEXGen,syncmvd,paint3d,goatex,spotex,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,syncmvd,TEXGen,mvadapter,paint3d,goatex,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,18
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,goatex,TEXGen,syncmvd,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,syncmvd,TEXGen,spotex,goatex,paint3d,mvadapter,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,22
